Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
Mutual Benefits Assurance,2024-04-17,2024-05-16,0.55,0.58,0.5335,0.605,5.45,2.31,2305.18,29,Time Stop
Japaul Gold Ventures,2024-04-17,2024-04-18,1.8,1.746,1.746,1.98,-3.0,-6.01,-6007.75,1,Stop Loss
Japaul Gold Ventures,2024-04-18,2024-04-23,1.69,1.859,1.6393,1.859,10.0,6.77,6774.5,5,Profit Target
Initiates,2024-04-19,2024-04-22,2.08,2.0176,2.0176,2.288,-3.0,-6.01,-6007.75,3,Stop Loss
Japaul Gold Ventures,2024-04-19,2024-04-23,1.69,1.859,1.6393,1.859,10.0,6.77,6774.5,4,Profit Target
Chams,2024-04-19,2024-04-29,1.69,1.859,1.6393,1.859,10.0,6.77,6774.5,10,Profit Target
Initiates,2024-04-22,2024-04-23,2.0,1.94,1.94,2.2,-3.0,-6.01,-6007.75,1,Stop Loss
Initiates,2024-04-23,2024-05-02,1.8,1.98,1.746,1.98,10.0,6.77,6774.5,9,Profit Target
Initiates,2024-04-24,2024-05-02,1.8,1.98,1.746,1.98,10.0,6.77,6774.5,8,Profit Target
United Capital,2024-04-24,2024-04-25,5.733,5.561,5.561,6.3063,-3.0,-6.01,-6007.75,1,Stop Loss
First HoldCo,2024-04-25,2024-04-29,19.64,21.604,19.0508,21.604,10.0,6.77,6774.5,4,Profit Target
Wema Bank,2024-04-29,2024-05-02,6.25,6.875,6.0625,6.875,10.0,6.77,6774.5,3,Profit Target
Wema Bank,2024-04-30,2024-05-02,6.05,6.655,5.8685,6.655,10.0,6.77,6774.5,2,Profit Target
Dangote Sugar,2024-05-02,2024-05-03,41.0,45.1,39.77,45.1,10.0,6.77,6774.5,1,Profit Target
Dangote Sugar,2024-05-03,2024-05-06,43.95,48.345,42.6315,48.345,10.0,6.77,6774.5,3,Profit Target
McNichols,2024-05-08,2024-05-09,1.11,1.0767,1.0767,1.221,-3.0,-6.01,-6007.75,1,Stop Loss
